Date,MSCI NORWAY
2019-02,12625.88544760531
2019-03,12408.19880659861
2019-04,12666.581709110258
2019-05,12173.132975191553
2019-06,12782.374381387745
2019-07,12370.648407684052
2019-08,11932.332610005624
2019-09,12358.960070746238
2019-10,12293.94805848317
2019-11,12091.164364696227
2019-12,12919.749364259276
2020-01,12077.948741523176
2020-02,10732.17151571264
2020-03,8621.414799608872
2020-04,9541.065583727854
2020-05,10067.03105891046
2020-06,9918.871568720244
2020-07,10867.023055838617
2020-08,11682.104498458979
2020-09,10748.415536813933
2020-10,9983.569097673246
2020-11,12124.75393829381
2020-12,12807.60413327727
2021-01,12817.443679710901
2021-02,13384.494477965152
2021-03,14257.189070311866
2021-04,14791.888999474944
2021-05,15313.55206107177
2021-06,15002.799045685422
2021-07,14727.07165668363
2021-08,15171.533917701672
2021-09,15805.826908231576
2021-10,16371.168327031455
2021-11,14992.728228145492
2021-12,15810.405033191248
2022-01,15803.02485754319
2022-02,16470.61713195538
2022-03,17433.100144939606
2022-04,16260.498810518515
2022-05,16978.34271859688
2022-06,14977.549799810857
2022-07,15881.073429943997
2022-08,15687.920753959892
2022-09,12708.958313807148
2022-10,14179.239868482948
2022-11,15135.157774428613
2022-12,14906.445503072036
2023-01,14569.748393053515
2023-02,14555.479889340364
2023-03,13877.639720696949
2023-04,14100.926402599347
2023-05,13051.774855193758
2023-06,13893.757448702216
